Manufacturer Name,Model Number,Technology,Description,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2
,,,,(kWh),(kW)
Alpha ESS Co.. Ltd.,SMILE-BAT-8.2PHA,Lithium Iron Phosphate,9.8 kW. 8.2kWh lithium iron battery,8.2,9.8
ARK Battery LLC,16IFR51.2-100-Y,Lithium Iron Phosphate,5.12 kW. 5.12 kWh. lithium iron phosphate battery,5.12,5.12
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M00,Lithium Iron Phosphate,120 kW. 240 kWh lithium iron battery system,240,120
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M00,Lithium Iron Phosphate,120 kW. 240 kWh lithium iron battery system,240,120
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M01,Lithium Iron Phosphate,120 kW. 247 kWh lithium iron battery system,247,120
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M01,Lithium Iron Phosphate,120 kW. 247 kWh lithium iron battery system,247,120
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M02,Lithium Iron Phosphate,120 kW. 255 kWh lithium iron battery system,255,120
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M0,Lithium Iron Phosphate,120 kW. 255 kWh lithium iron battery system,255,120
Darfon Electronics Corp.,B07ULF-xxx,Lithium Iron Phosphate,"5.7 kW. 7.2 kWh lithium iron (LFP) battery, wildcard x can be 0-9. A-Z. a-z. or blank",7.2,5.7
Darfon Electronics Corp.,B09ULF-xxx,Lithium Iron Phosphate,"5.7 kW. 9.6 kWh lithium iron (LFP) battery, wildcard x can be 0-9. A-Z. a-z. or blank",9.6,5.7
Darfon Electronics Corp.,B17,Lithium Iron Phosphate,10kW. 17.5 KWh Lithium iron phosphate (LFP) battery,18.4,10
Discover Energy Corp.,44-24-2800,Lithium Iron Phosphate,2.8 kW. 2.8 kWh. 110 Ah lithium iron battery. 44 Series,2.816,
Discover Energy Corp.,42-48-6650,Lithium Iron Phosphate,6.65 kW. 6.65 kWh. 130 Ah lithium iron battery. 42 Series,6.656,
EndurEnergy Systems. Inc.,ESP-5100,Lithium-Ion,4.5 kW. 5.12 kWh lithium ion battery system,5.12,4.5
e-ON Batteries Inc.,EB48125F-T110A,Lithium Iron Phosphate,6.4 kW. 6.4 kWh LiFePO4 lithium iron battery,6.4,6.4
e-ON Batteries Inc.,EBR-P48192EDA1,Lithium Iron Phosphate,5 kW. 9 kWh. 51.2 V LFP Battery System,9,5
EVE POWER CO.. LTD.,LF50K,Lithium Iron Phosphate,0.48 kW. 0.16 kWh. 3.2 V LFP Battery,0.16,0.48
EVE POWER CO.. LTD.,LF280K,Lithium Iron Phosphate,0.48 kW. 0.16 kWh. 3.2 V LFP Battery,0.896,0.896
FnS Power Technology Inc,FCIFP48100A,Lithium Iron Phosphate,3.5 kW. 4.8 kWh Lithium Iron Phosphate,4.8,3.5
FnS Power Technology Inc,SSIF2P15S48100C,Lithium Iron Phosphate,3.5 kW. 4.8 kWh Lithium Iron Phosphate,4.8,3.5
Fortress Power LLC,eFlex 5.4,Lithium Iron Phosphate,5 kW. 5.4 kWh. lithium iron phospahte battery,5.4,5
Fortress Power LLC,eVaultMax,Lithium Iron Phosphate,9.2 kW. 18.5 kWh. lithium iron phosphate battery,18.43,9.2
GoodWe Technologies Co.. Ltd.,SECU-S2.5,Lithium Iron Phosphate,2.88 kW. 2.56 kWh lithium iron battery system,2.56,2.88
GoodWe Technologies Co.. Ltd.,SECU-S5,Lithium Iron Phosphate,5.76 kW. 5.12 kWh lithium iron battery system,5.12,5.76
GoodWe Technologies Co.. Ltd.,SECU-S7.5,Lithium Iron Phosphate,8.64 kW. 7.68 kWh lithium iron battery system,7.68,8.64
GoodWe Technologies Co.. Ltd.,LX F9.6-30,Lithium Iron Phosphate,6.72 kW. 9.6 kWh Li-ion battery system,9.6,6.72
GoodWe Technologies Co.. Ltd.,SECU-S10,Lithium Iron Phosphate,11.52 kW. 10.24 kWh lithium iron battery system,10.24,11.52
GoodWe Technologies Co.. Ltd.,LX F12.8-30,Lithium Iron Phosphate,8.96 kW. 12.8 kWh Li-ion battery system,12.8,8.96
GoodWe Technologies Co.. Ltd.,SECU-S13,Lithium Iron Phosphate,14.4 kW. 12.8 kWh lithium iron battery system,12.8,14.4
GoodWe Technologies Co.. Ltd.,SECU-S15,Lithium Iron Phosphate,17.28 kW. 15.36 kWh lithium iron battery system     ,15.36,17.28
GoodWe Technologies Co.. Ltd.,LX F16.0-30,Lithium Iron Phosphate,11.2 kW. 16 kWh Li-ion battery system,16,11.2
GoodWe Technologies Co.. Ltd.,SECU-S18,Lithium Iron Phosphate,20.16 kW. 17.92 kWh lithium iron battery system,17.92,20.16
GoodWe Technologies Co.. Ltd.,LX F19.2-30,Lithium Iron Phosphate,13.44 kW. 19.2 kWh Li-ion battery system,19.2,13.44
GoodWe Technologies Co.. Ltd.,SECU-S20,Lithium Iron Phosphate,23.04kW. 20.48 kWh lithium iron battery system,20.48,23.04
GuangZhou MeriTech Power Co Ltd,MERITSUN LFP48V100AH,Lithium Iron Phosphate,4.8 kW. 5 kWh. LiFePO4 lithium iron battery,5,4.8
GuangZhou MeriTech Power Co Ltd,MERITSUN LFP51.2V100AH,Lithium Iron Phosphate,4.8 kW. 5 kWh. LiFePO4 lithium iron battery,5,4.8
Holu Hou Energy LLC,HH8200H-EB,Lithium-Ion,6.4 kW. 8.2 kWh lithium ion Battery,8.2,6.4
Humless. LLC,LFP48100-P5KWH,Lithium Iron Phosphate,5.12 kW. 4.92 kWh. 96 Ah lithium iron phosphate battery,4.92,5.12
Humless. LLC,W48100B-IP65,Lithium Iron Phosphate,5.12 kW. 4.92 kWh. 96 Ah lithium iron phosphate battery,4.92,5.12
Humless. LLC,LFP48100-5KWH,Lithium Iron Phosphate,5.12 kW. 5.12 kWh. 100 Ah lithium iron phosphate battery,5.12,5.12
KORE Power. Inc.,KORE-M1-ESR1500N,Lithium ion,110 kW. 110.7 kWh. lithium ion battery. where N = 2-17 (Number of battery modules. each 6.51 kWh).,110.7,110
LG Energy Solution. Ltd.,RESU 10H Prime,Lithium-Ion,5 kW. 9.6 kWh lithium ion battery system,9.6,5
LG Energy Solution. Ltd.,RESU 16H Prime,Lithium-Ion,7 kW. 16 kWh lithium ion battery pack,16,
LG Energy Solution. Ltd.,SR22F617F_G16D1,Lithium-Ion,110 kW. 110 kWh lithium ion battery system,110.908,110.908
Polarium Inc.,810-00046,Lithium-Ion,6 kW. 4.74 kWh lithium ion (NMC) battery,4.74,6
Polarium Inc.,810-00061,Lithium-Ion,6 kW. 4.74 kWh lithium ion (NMC) battery,4.74,6
Polarium Inc.,810-00164,Lithium-Ion,6 kW. 8.55 kWh lithium ion (NMC) battery,8.55,6
Polarium Inc.,SLB48-200-228-1U,Lithium-Ion,6 kW. 9.67 kWh lithium ion (NMC) battery,9.67,6
ShanDong Sacred Sun Power Sources Co.. Ltd,FCIFP48100A,Lithium Iron Phosphate,3.5 kW. 4.8 kWh. 48 V. 100 Ah. LFP 3U battery,4.8,3.5
ShanDong Sacred Sun Power Sources Co.. Ltd,SSIF2P15S48100C,Lithium Iron Phosphate,3.5 kW. 4.8 kWh. 48 V. 100 Ah. LFP 5U battery,4.8,3.5
Shanghai PYTES Energy Co.. Ltd.,E-BOX 48100R,Lithium-Ion,2.56 kW. 5.12 kWh lithium ion battery system,5.12,2.56
Shenzhen BYD Electronics Co.. Ltd.,HVL 12.0,Lithium Iron Phosphate,7.5 kW. 12 kWh lithium iron phosphate battery,12,7.5
Shenzhen BYD Electronics Co.. Ltd.,HVL 16.0,Lithium Iron Phosphate,10 kW. 16 kWh lithium iron phosphate battery,16,10
Shenzhen BYD Electronics Co.. Ltd.,HVL 20.0,Lithium Iron Phosphate,12.5 kW. 20 kWh lithium iron phosphate battery,20,12.5
Shenzhen BYD Electronics Co.. Ltd.,HVL 24.0,Lithium Iron Phosphate,15 kW. 24 kWh lithium iron phosphate battery,24,15
Shenzhen BYD Electronics Co.. Ltd.,HVL 28.0,Lithium Iron Phosphate,17.5 kW. 28 kWh lithium iron phosphate battery,28,17.5
Shenzhen BYD Electronics Co.. Ltd.,HVL 32.0,Lithium Iron Phosphate,20 kW. 32 kWh lithium iron phosphate battery,32,20
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 5.0,Lithium Iron Phosphate,5.12 kW. 5.12 kWh. Lithium-Ion (LFP) Battery,5.12,5.12
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 7.5,Lithium Iron Phosphate,7.68 kW. 7.68 kWh. Lithium-Ion (LFP) Battery,7.68,7.68
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 10.0,Lithium Iron Phosphate,10.24 kW. 10.24 kWh. Lithium-Ion (LFP) Battery,10.24,10.24
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 6.6H-C1-US,Lithium Iron Phosphate,3.5 kW. 6.6 kWh lithium iron battery system,6.6,3.5
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 9.9H-C1-US,Lithium Iron Phosphate,5.2 kW. 9.9 kWh lithium iron battery system,9.9,5.2
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 13.2H-C1-US,Lithium Iron Phosphate,5.2 kW. 13.2 kWh lithium iron battery system,13.2,5.2
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 16.5H-C1-US,Lithium Iron Phosphate,5.2 kW. 16.5 kWh lithium iron battery system,16.5,5.2
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 19.8H-C1-US,Lithium Iron Phosphate,5.2 kW. 19.8 kWh lithium iron battery system,19.8,5.2
