Manufacturer;Model Number;Description;Nameplate Pmax;PTC;A_c;N_s;N_p;BIPV;Nameplate Isc;Nameplate Voc;Nameplate Ipmax;Nameplate Vpmax;Average NOCT;CONSPmax;CONSIsc;CONSVoc;CONSIpmax;CONSVpmax;IPmax, low;VPmax, low;IPmax, NOCT;VPmax, NOCT;Mounting;Type;Short Side;Long Side
;;;(W);;(m2);;;;(A);(V);(A);(V);(°C);(%/°C);(%/C);(%/C);(%/C);(%/C);(A);(V);(A);(V);;;(m);(m)
Ablytek;6MN6A270;270 W Monocrystalline Module;270;242,1;1,627;60;1;N;9,34;38,63;8,81;30,72;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,24;29,84;8,81;26,34;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A275;275 W Monocrystalline Module;275;246,7;1,627;60;1;N;9,42;38,97;8,88;30,99;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,26;30,1;8,88;26,57;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A280;280 W Monocrystalline Module;280;251,3;1,627;60;1;N;9,51;39,31;8,96;31,26;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,28;30,37;8,96;26,81;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A285;285 W Monocrystalline Module;285;256;1,627;60;1;N;9,59;39,65;9,04;31,53;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,3;30,63;9,04;27,04;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A290;290 W Monocrystalline Module;290;260,6;1,627;60;1;N;9,67;39,99;9,12;31,8;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,32;30,89;9,12;27,27;Rack;Flat Plate;0,992;1,64
Advance Power;API-P210;210 W Polycrystalline Module;210;186,8;1,638;60;1;N;7,6;35,94;7,09;29,64;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,43;29,16;5,71;26,86;Rack;Flat Plate;0,995;1,646
Advance Power;API-P215;215 W Polycrystalline Module;215;191,3;1,638;60;1;N;7,83;36;7,18;29,94;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,44;29,46;5,78;27,13;Rack;Flat Plate;0,995;1,646
Advance Power;API-P220;220 W Polycrystalline Module;220;195,9;1,638;60;1;N;7,95;36,06;7,3;30,12;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,47;29,63;5,88;27,29;Rack;Flat Plate;0,995;1,646
Advance Power;API-M225;225 W Monocrystalline Module;225;200,7;1,638;60;1;N;8,11;37,02;7,5;30;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,56;29,67;5,99;27,45;Rack;Flat Plate;0,995;1,646
